timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
4 9 35 0.39365916846331567 0.006340831536684355
19 2 16 0.39943587265806213 5.641273419378923E-4
20 2 16 0.39943587265806213 5.641273419378923E-4
29 5 28 0.3959214619867404 0.004078538013259636
